,Season,Game,Score,Teams,Home Team,Away Team
4385,2011-2012,21,3-3,Deportivo - Sevilla,Deportivo,Sevilla
4386,2011-2012,21,0-2,Atlético - Athletic,Atlético,Athletic
4387,2011-2012,21,1-0,Osasuna - Real Madrid,Osasuna,Real Madrid
4388,2011-2012,21,0-1,Espanyol - Villarreal,Espanyol,Villarreal
4389,2011-2012,21,1-1,Racing - Valencia,Racing,Valencia
4390,2011-2012,22,3-0,Athletic - Real Sporting,Athletic,Real Sporting
4391,2011-2012,22,3-2,Almería - Espanyol,Almería,Espanyol
4392,2011-2012,22,4-1,Getafe - Deportivo,Getafe,Deportivo
4393,2011-2012,22,1-1,Real Zaragoza - Racing,Real Zaragoza,Racing
4394,2011-2012,22,1-1,Osasuna - Mallorca,Osasuna,Mallorca
4395,2011-2012,22,0-1,Villarreal - Levante,Villarreal,Levante
4396,2011-2012,22,3-0,Barcelona - Atlético,Barcelona,Atlético
4397,2011-2012,22,0-0,Sevilla - Málaga,Sevilla,Málaga
4398,2011-2012,22,4-1,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
4399,2011-2012,22,2-0,Valencia - Hércules,Valencia,Hércules
4400,2011-2012,23,1-2,Atlético - Valencia,Atlético,Valencia
4401,2011-2012,23,1-1,Real Sporting - Barcelona,Real Sporting,Barcelona
4402,2011-2012,23,3-2,Racing - Sevilla,Racing,Sevilla
4403,2011-2012,23,1-0,Levante - Almería,Levante,Almería
4404,2011-2012,23,2-2,Málaga - Getafe,Málaga,Getafe
4405,2011-2012,23,2-1,Hércules - Real Zaragoza,Hércules,Real Zaragoza
4406,2011-2012,23,1-0,R. Sociedad - Osasuna,R. Sociedad,Osasuna
4407,2011-2012,23,1-0,Deportivo - Villarreal,Deportivo,Villarreal
4408,2011-2012,23,0-1,Espanyol - Real Madrid,Espanyol,Real Madrid
4409,2011-2012,23,1-0,Mallorca - Athletic,Mallorca,Athletic
4410,2011-2012,24,0-0,Valencia - Real Sporting,Valencia,Real Sporting
4411,2011-2012,24,2-0,Real Madrid - Levante,Real Madrid,Levante
4412,2011-2012,24,0-1,Real Zaragoza - Atlético,Real Zaragoza,Atlético
4413,2011-2012,24,0-1,Getafe - Racing,Getafe,Racing
4414,2011-2012,24,1-1,Villarreal - Málaga,Villarreal,Málaga
4415,2011-2012,24,1-1,Almería - Deportivo,Almería,Deportivo
4416,2011-2012,24,4-0,Osasuna - Espanyol,Osasuna,Espanyol
4417,2011-2012,24,1-0,Sevilla - Hércules,Sevilla,Hércules
4418,2011-2012,24,2-1,Barcelona - Athletic,Barcelona,Athletic
4419,2011-2012,24,1-0,R. Sociedad - Mallorca,R. Sociedad,Mallorca
4420,2011-2012,25,0-0,Real Sporting - Real Zaragoza,Real Sporting,Real Zaragoza
4421,2011-2012,25,4-1,Espanyol - R. Sociedad,Espanyol,R. Sociedad
4422,2011-2012,25,2-2,Atlético - Sevilla,Atlético,Sevilla
4423,2011-2012,25,0-3,Mallorca - Barcelona,Mallorca,Barcelona
4424,2011-2012,25,0-0,Deportivo - Real Madrid,Deportivo,Real Madrid
4425,2011-2012,25,0-0,Hércules - Getafe,Hércules,Getafe
4426,2011-2012,25,2-1,Levante - Osasuna,Levante,Osasuna
4427,2011-2012,25,2-2,Racing - Villarreal,Racing,Villarreal
4428,2011-2012,25,1-2,Athletic - Valencia,Athletic,Valencia
4429,2011-2012,25,3-1,Málaga - Almería,Málaga,Almería
4430,2011-2012,26,1-2,Espanyol - Mallorca,Espanyol,Mallorca
4431,2011-2012,26,3-0,Sevilla - Real Sporting,Sevilla,Real Sporting
4432,2011-2012,26,2-1,Real Zaragoza - Athletic,Real Zaragoza,Athletic
4433,2011-2012,26,1-1,Getafe - Atlético,Getafe,Atlético
4434,2011-2012,26,1-0,Villarreal - Hércules,Villarreal,Hércules
4435,2011-2012,26,1-1,R. Sociedad - Levante,R. Sociedad,Levante
4436,2011-2012,26,0-0,Osasuna - Deportivo,Osasuna,Deportivo
4437,2011-2012,26,0-1,Valencia - Barcelona,Valencia,Barcelona
4438,2011-2012,26,1-1,Almería - Racing,Almería,Racing
4439,2011-2012,26,7-0,Real Madrid - Málaga,Real Madrid,Málaga
4440,2011-2012,27,1-2,Mallorca - Valencia,Mallorca,Valencia
4441,2011-2012,27,1-0,Barcelona - Real Zaragoza,Barcelona,Real Zaragoza
4442,2011-2012,27,3-1,Atlético - Villarreal,Atlético,Villarreal
4443,2011-2012,27,0-1,Málaga - Osasuna,Málaga,Osasuna
4444,2011-2012,27,1-2,Hércules - Almería,Hércules,Almería
4445,2011-2012,27,2-0,Real Sporting - Getafe,Real Sporting,Getafe
4446,2011-2012,27,1-0,Levante - Espanyol,Levante,Espanyol
4447,2011-2012,27,2-0,Athletic - Sevilla,Athletic,Sevilla
4448,2011-2012,27,1-3,Racing - Real Madrid,Racing,Real Madrid
4449,2011-2012,27,2-1,Deportivo - R. Sociedad,Deportivo,R. Sociedad
4450,2011-2012,28,2-2,Almería - Atlético,Almería,Atlético
4451,2011-2012,28,2-0,Real Madrid - Hércules,Real Madrid,Hércules
4452,2011-2012,28,4-0,Real Zaragoza - Valencia,Real Zaragoza,Valencia
4453,2011-2012,28,3-1,Osasuna - Racing,Osasuna,Racing
4454,2011-2012,28,0-2,R. Sociedad - Málaga,R. Sociedad,Málaga
4455,2011-2012,28,2-0,Espanyol - Deportivo,Espanyol,Deportivo
4456,2011-2012,28,1-1,Levante - Mallorca,Levante,Mallorca
4457,2011-2012,28,1-1,Villarreal - Real Sporting,Villarreal,Real Sporting
4458,2011-2012,28,1-1,Sevilla - Barcelona,Sevilla,Barcelona
4459,2011-2012,28,2-2,Getafe - Athletic,Getafe,Athletic
4460,2011-2012,29,1-0,Mallorca - Real Zaragoza,Mallorca,Real Zaragoza
4461,2011-2012,29,2-1,Barcelona - Getafe,Barcelona,Getafe
4462,2011-2012,29,1-2,Atlético - Real Madrid,Atlético,Real Madrid
4463,2011-2012,29,1-0,Real Sporting - Almería,Real Sporting,Almería
4464,2011-2012,29,0-4,Hércules - Osasuna,Hércules,Osasuna
4465,2011-2012,29,2-1,Racing - R. Sociedad,Racing,R. Sociedad
4466,2011-2012,29,2-0,Málaga - Espanyol,Málaga,Espanyol
4467,2011-2012,29,0-1,Deportivo - Levante,Deportivo,Levante
4468,2011-2012,29,0-1,Athletic - Villarreal,Athletic,Villarreal
4469,2011-2012,29,0-1,Valencia - Sevilla,Valencia,Sevilla
4470,2011-2012,30,0-1,Real Madrid - Real Sporting,Real Madrid,Real Sporting
4471,2011-2012,30,2-4,Getafe - Valencia,Getafe,Valencia
4472,2011-2012,30,0-1,Villarreal - Barcelona,Villarreal,Barcelona
4473,2011-2012,30,2-1,Deportivo - Mallorca,Deportivo,Mallorca
4474,2011-2012,30,3-1,Levante - Málaga,Levante,Málaga
4475,2011-2012,30,1-2,Espanyol - Racing,Espanyol,Racing
4476,2011-2012,30,1-3,R. Sociedad - Hércules,R. Sociedad,Hércules
4477,2011-2012,30,3-1,Sevilla - Real Zaragoza,Sevilla,Real Zaragoza
4478,2011-2012,30,2-3,Osasuna - Atlético,Osasuna,Atlético
4479,2011-2012,30,1-3,Almería - Athletic,Almería,Athletic
4480,2011-2012,31,0-3,Athletic - Real Madrid,Athletic,Real Madrid
4481,2011-2012,31,3-1,Barcelona - Almería,Barcelona,Almería
4482,2011-2012,31,2-2,Mallorca - Sevilla,Mallorca,Sevilla
4483,2011-2012,31,1-1,Racing - Levante,Racing,Levante
4484,2011-2012,31,0-0,Hércules - Espanyol,Hércules,Espanyol
4485,2011-2012,31,1-0,Real Sporting - Osasuna,Real Sporting,Osasuna
4486,2011-2012,31,0-0,Málaga - Deportivo,Málaga,Deportivo
4487,2011-2012,31,3-0,Atlético - R. Sociedad,Atlético,R. Sociedad
4488,2011-2012,31,5-0,Valencia - Villarreal,Valencia,Villarreal
4489,2011-2012,31,2-1,Real Zaragoza - Getafe,Real Zaragoza,Getafe
4490,2011-2012,32,1-0,Getafe - Sevilla,Getafe,Sevilla
4491,2011-2012,32,3-0,Málaga - Mallorca,Málaga,Mallorca
4492,2011-2012,32,0-3,Almería - Valencia,Almería,Valencia
4493,2011-2012,32,1-1,Real Madrid - Barcelona,Real Madrid,Barcelona
4494,2011-2012,32,2-1,Levante - Hércules,Levante,Hércules
4495,2011-2012,32,2-0,Deportivo - Racing,Deportivo,Racing
4496,2011-2012,32,2-1,R. Sociedad - Real Sporting,R. Sociedad,Real Sporting
4497,2011-2012,32,1-2,Osasuna - Athletic,Osasuna,Athletic
4498,2011-2012,32,2-2,Espanyol - Atlético,Espanyol,Atlético
4499,2011-2012,32,1-0,Villarreal - Real Zaragoza,Villarreal,Real Zaragoza
4500,2011-2012,33,3-6,Valencia - Real Madrid,Valencia,Real Madrid
4501,2011-2012,33,2-0,Barcelona - Osasuna,Barcelona,Osasuna
4502,2011-2012,33,2-1,Athletic - R. Sociedad,Athletic,R. Sociedad
4503,2011-2012,33,1-0,Hércules - Deportivo,Hércules,Deportivo
4504,2011-2012,33,1-0,Real Sporting - Espanyol,Real Sporting,Espanyol
4505,2011-2012,33,2-0,Mallorca - Getafe,Mallorca,Getafe
4506,2011-2012,33,1-2,Racing - Málaga,Racing,Málaga
4507,2011-2012,33,4-1,Atlético - Levante,Atlético,Levante
4508,2011-2012,33,3-2,Sevilla - Villarreal,Sevilla,Villarreal
4509,2011-2012,33,1-0,Real Zaragoza - Almería,Real Zaragoza,Almería
4510,2011-2012,34,2-3,Real Madrid - Real Zaragoza,Real Madrid,Real Zaragoza
4511,2011-2012,34,2-1,R. Sociedad - Barcelona,R. Sociedad,Barcelona
4512,2011-2012,34,0-1,Deportivo - Atlético,Deportivo,Atlético
4513,2011-2012,34,0-0,Levante - Real Sporting,Levante,Real Sporting
4514,2011-2012,34,3-1,Málaga - Hércules,Málaga,Hércules
4515,2011-2012,34,2-0,Racing - Mallorca,Racing,Mallorca
4516,2011-2012,34,0-1,Almería - Sevilla,Almería,Sevilla
4517,2011-2012,34,2-1,Villarreal - Getafe,Villarreal,Getafe
4518,2011-2012,34,1-0,Osasuna - Valencia,Osasuna,Valencia
4519,2011-2012,34,2-1,Espanyol - Athletic,Espanyol,Athletic
4520,2011-2012,35,2-3,Hércules - Racing,Hércules,Racing
4521,2011-2012,35,2-0,Getafe - Almería,Getafe,Almería
4522,2011-2012,35,3-0,Valencia - R. Sociedad,Valencia,R. Sociedad
4523,2011-2012,35,2-2,Real Sporting - Deportivo,Real Sporting,Deportivo
4524,2011-2012,35,3-2,Athletic - Levante,Athletic,Levante
4525,2011-2012,35,0-3,Atlético - Málaga,Atlético,Málaga
4526,2011-2012,35,2-6,Sevilla - Real Madrid,Sevilla,Real Madrid
4527,2011-2012,35,0-0,Mallorca - Villarreal,Mallorca,Villarreal
4528,2011-2012,35,2-0,Barcelona - Espanyol,Barcelona,Espanyol
4529,2011-2012,35,1-3,Real Zaragoza - Osasuna,Real Zaragoza,Osasuna
4530,2011-2012,36,2-1,Deportivo - Athletic,Deportivo,Athletic
4531,2011-2012,36,2-1,Racing - Atlético,Racing,Atlético
4532,2011-2012,36,2-0,Málaga - Real Sporting,Málaga,Real Sporting
4533,2011-2012,36,4-0,Real Madrid - Getafe,Real Madrid,Getafe
4534,2011-2012,36,0-0,Almería - Villarreal,Almería,Villarreal
4535,2011-2012,36,1-1,Levante - Barcelona,Levante,Barcelona
4536,2011-2012,36,2-1,R. Sociedad - Real Zaragoza,R. Sociedad,Real Zaragoza
4537,2011-2012,36,2-2,Espanyol - Valencia,Espanyol,Valencia
4538,2011-2012,36,2-2,Hércules - Mallorca,Hércules,Mallorca
4539,2011-2012,36,3-2,Osasuna - Sevilla,Osasuna,Sevilla
4540,2011-2012,37,3-1,Almería - Mallorca,Almería,Mallorca
4541,2011-2012,37,2-1,Real Sporting - Racing,Real Sporting,Racing
4542,2011-2012,37,1-1,Athletic - Málaga,Athletic,Málaga
4543,2011-2012,37,0-0,Barcelona - Deportivo,Barcelona,Deportivo
4544,2011-2012,37,0-0,Valencia - Levante,Valencia,Levante
4545,2011-2012,37,1-0,Real Zaragoza - Espanyol,Real Zaragoza,Espanyol
4546,2011-2012,37,3-1,Sevilla - R. Sociedad,Sevilla,R. Sociedad
4547,2011-2012,37,2-0,Getafe - Osasuna,Getafe,Osasuna
4548,2011-2012,37,1-3,Villarreal - Real Madrid,Villarreal,Real Madrid
4549,2011-2012,37,2-1,Atlético - Hércules,Atlético,Hércules
4550,2011-2012,38,1-3,Málaga - Barcelona,Málaga,Barcelona
4551,2011-2012,38,0-0,Hércules - Real Sporting,Hércules,Real Sporting
4552,2011-2012,38,8-1,Real Madrid - Almería,Real Madrid,Almería
4553,2011-2012,38,0-2,Deportivo - Valencia,Deportivo,Valencia
4554,2011-2012,38,1-2,Levante - Real Zaragoza,Levante,Real Zaragoza
4555,2011-2012,38,2-3,Espanyol - Sevilla,Espanyol,Sevilla
4556,2011-2012,38,1-1,R. Sociedad - Getafe,R. Sociedad,Getafe
4557,2011-2012,38,1-0,Osasuna - Villarreal,Osasuna,Villarreal
4558,2011-2012,38,1-2,Racing - Athletic,Racing,Athletic
4559,2011-2012,38,3-4,Mallorca - Atlético,Mallorca,Atlético
4560,2012-2013,1,3-0,Espanyol - Granada,Espanyol,Granada
4561,2012-2013,1,1-2,Racing - Getafe,Racing,Getafe
4562,2012-2013,1,0-4,R. Sociedad - Atlético,R. Sociedad,Atlético
4563,2012-2013,1,1-1,Real Betis - Sevilla,Real Betis,Sevilla
4564,2012-2013,1,1-1,Osasuna - Valencia,Osasuna,Valencia
4565,2012-2013,1,0-1,Rayo Vallecano - Mallorca,Rayo Vallecano,Mallorca
4566,2012-2013,1,1-4,Málaga - Barcelona,Málaga,Barcelona
4567,2012-2013,1,0-0,Levante - Real Zaragoza,Levante,Real Zaragoza
4568,2012-2013,1,4-1,Real Madrid - Athletic,Real Madrid,Athletic
4569,2012-2013,1,3-0,Villarreal - Real Sporting,Villarreal,Real Sporting
4570,2012-2013,2,1-2,Real Sporting - R. Sociedad,Real Sporting,R. Sociedad
4571,2012-2013,2,4-3,Valencia - Racing,Valencia,Racing
4572,2012-2013,2,0-1,Granada - Real Betis,Granada,Real Betis
4573,2012-2013,2,0-0,Atlético - Osasuna,Atlético,Osasuna
4574,2012-2013,2,1-1,Athletic - Rayo Vallecano,Athletic,Rayo Vallecano
4575,2012-2013,2,1-0,Mallorca - Espanyol,Mallorca,Espanyol
4576,2012-2013,2,1-1,Getafe - Levante,Getafe,Levante
4577,2012-2013,2,0-6,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
4578,2012-2013,2,2-1,Sevilla - Málaga,Sevilla,Málaga
4579,2012-2013,2,5-0,Barcelona - Villarreal,Barcelona,Villarreal
4580,2012-2013,3,2-2,R. Sociedad - Barcelona,R. Sociedad,Barcelona
4581,2012-2013,3,2-2,Villarreal - Sevilla,Villarreal,Sevilla
4582,2012-2013,3,4-2,Real Madrid - Getafe,Real Madrid,Getafe
4583,2012-2013,3,1-0,Valencia - Atlético,Valencia,Atlético
4584,2012-2013,3,1-0,Real Betis - Mallorca,Real Betis,Mallorca
4585,2012-2013,3,0-0,Racing - Levante,Racing,Levante
4586,2012-2013,3,0-0,Rayo Vallecano - Real Zaragoza,Rayo Vallecano,Real Zaragoza
4587,2012-2013,3,2-1,Osasuna - Real Sporting,Osasuna,Real Sporting
4588,2012-2013,3,2-1,Espanyol - Athletic,Espanyol,Athletic
4589,2012-2013,3,4-0,Málaga - Granada,Málaga,Granada
4590,2012-2013,4,0-1,Mallorca - Málaga,Mallorca,Málaga
4591,2012-2013,4,0-1,Real Sporting - Valencia,Real Sporting,Valencia
4592,2012-2013,4,1-0,Granada - Villarreal,Granada,Villarreal
4593,2012-2013,4,8-0,Barcelona - Osasuna,Barcelona,Osasuna
4594,2012-2013,4,1-0,Sevilla - R. Sociedad,Sevilla,R. Sociedad
4595,2012-2013,4,0-1,Getafe - Rayo Vallecano,Getafe,Rayo Vallecano
4596,2012-2013,4,2-1,Real Zaragoza - Espanyol,Real Zaragoza,Espanyol
4597,2012-2013,4,4-0,Atlético - Racing,Atlético,Racing
4598,2012-2013,4,1-0,Levante - Real Madrid,Levante,Real Madrid
4599,2012-2013,4,2-3,Athletic - Real Betis,Athletic,Real Betis
4600,2012-2013,5,0-0,Osasuna - Sevilla,Osasuna,Sevilla
4601,2012-2013,5,1-0,R. Sociedad - Granada,R. Sociedad,Granada
4602,2012-2013,5,2-0,Villarreal - Mallorca,Villarreal,Mallorca
4603,2012-2013,5,4-0,Atlético - Real Sporting,Atlético,Real Sporting
4604,2012-2013,5,1-2,Rayo Vallecano - Levante,Rayo Vallecano,Levante
4605,2012-2013,5,1-0,Málaga - Athletic,Málaga,Athletic
4606,2012-2013,5,0-0,Racing - Real Madrid,Racing,Real Madrid
4607,2012-2013,5,2-2,Valencia - Barcelona,Valencia,Barcelona
4608,2012-2013,5,1-0,Espanyol - Getafe,Espanyol,Getafe
4609,2012-2013,5,4-3,Real Betis - Real Zaragoza,Real Betis,Real Zaragoza
4610,2012-2013,6,1-1,Athletic - Villarreal,Athletic,Villarreal
4611,2012-2013,6,1-0,Sevilla - Valencia,Sevilla,Valencia
4612,2012-2013,6,6-2,Real Madrid - Rayo Vallecano,Real Madrid,Rayo Vallecano
4613,2012-2013,6,5-0,Barcelona - Atlético,Barcelona,Atlético
4614,2012-2013,6,2-1,Mallorca - R. Sociedad,Mallorca,R. Sociedad
4615,2012-2013,6,3-1,Levante - Espanyol,Levante,Espanyol
4616,2012-2013,6,1-1,Granada - Osasuna,Granada,Osasuna
4617,2012-2013,6,0-0,Real Sporting - Racing,Real Sporting,Racing
4618,2012-2013,6,0-0,Real Zaragoza - Málaga,Real Zaragoza,Málaga
4619,2012-2013,6,1-0,Getafe - Real Betis,Getafe,Real Betis
4620,2012-2013,7,1-1,Racing - Rayo Vallecano,Racing,Rayo Vallecano
4621,2012-2013,7,2-2,Villarreal - Real Zaragoza,Villarreal,Real Zaragoza
4622,2012-2013,7,2-2,Osasuna - Mallorca,Osasuna,Mallorca
4623,2012-2013,7,1-0,Valencia - Granada,Valencia,Granada
4624,2012-2013,7,3-2,Málaga - Getafe,Málaga,Getafe
4625,2012-2013,7,1-2,R. Sociedad - Athletic,R. Sociedad,Athletic
4626,2012-2013,7,0-1,Real Betis - Levante,Real Betis,Levante
4627,2012-2013,7,0-0,Atlético - Sevilla,Atlético,Sevilla
4628,2012-2013,7,0-1,Real Sporting - Barcelona,Real Sporting,Barcelona
4629,2012-2013,7,0-4,Espanyol - Real Madrid,Espanyol,Real Madrid
4630,2012-2013,8,0-0,Getafe - Villarreal,Getafe,Villarreal
4631,2012-2013,8,4-1,Real Madrid - Real Betis,Real Madrid,Real Betis
4632,2012-2013,8,1-1,Mallorca - Valencia,Mallorca,Valencia
4633,2012-2013,8,3-0,Barcelona - Racing,Barcelona,Racing
4634,2012-2013,8,0-0,Granada - Atlético,Granada,Atlético
4635,2012-2013,8,0-1,Rayo Vallecano - Espanyol,Rayo Vallecano,Espanyol
4636,2012-2013,8,2-0,Real Zaragoza - R. Sociedad,Real Zaragoza,R. Sociedad
4637,2012-2013,8,3-0,Levante - Málaga,Levante,Málaga
4638,2012-2013,8,2-1,Sevilla - Real Sporting,Sevilla,Real Sporting
4639,2012-2013,8,3-1,Athletic - Osasuna,Athletic,Osasuna
4640,2012-2013,9,0-1,Racing - Espanyol,Racing,Espanyol
4641,2012-2013,9,2-0,Real Sporting - Granada,Real Sporting,Granada
4642,2012-2013,9,0-4,Málaga - Real Madrid,Málaga,Real Madrid
4643,2012-2013,9,0-0,Barcelona - Sevilla,Barcelona,Sevilla
4644,2012-2013,9,0-2,Real Betis - Rayo Vallecano,Real Betis,Rayo Vallecano
4645,2012-2013,9,0-0,R. Sociedad - Getafe,R. Sociedad,Getafe
4646,2012-2013,9,3-0,Osasuna - Real Zaragoza,Osasuna,Real Zaragoza
4647,2012-2013,9,1-1,Atlético - Mallorca,Atlético,Mallorca
4648,2012-2013,9,1-1,Valencia - Athletic,Valencia,Athletic
4649,2012-2013,9,0-3,Villarreal - Levante,Villarreal,Levante
4650,2012-2013,10,0-1,Granada - Barcelona,Granada,Barcelona
4651,2012-2013,10,2-2,Sevilla - Racing,Sevilla,Racing
4652,2012-2013,10,2-0,Rayo Vallecano - Málaga,Rayo Vallecano,Málaga
4653,2012-2013,10,3-2,Levante - R. Sociedad,Levante,R. Sociedad
4654,2012-2013,10,2-2,Getafe - Osasuna,Getafe,Osasuna
4655,2012-2013,10,0-1,Real Zaragoza - Valencia,Real Zaragoza,Valencia
4656,2012-2013,10,3-0,Real Madrid - Villarreal,Real Madrid,Villarreal
4657,2012-2013,10,1-2,Mallorca - Real Sporting,Mallorca,Real Sporting
4658,2012-2013,10,1-0,Espanyol - Real Betis,Espanyol,Real Betis
4659,2012-2013,10,3-0,Athletic - Atlético,Athletic,Atlético
4660,2012-2013,11,2-0,Villarreal - Rayo Vallecano,Villarreal,Rayo Vallecano
4661,2012-2013,11,3-1,Valencia - Getafe,Valencia,Getafe
4662,2012-2013,11,5-0,Barcelona - Mallorca,Barcelona,Mallorca
4663,2012-2013,11,0-1,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
4664,2012-2013,11,1-1,Real Sporting - Athletic,Real Sporting,Athletic
4665,2012-2013,11,2-0,Osasuna - Levante,Osasuna,Levante
4666,2012-2013,11,1-0,Racing - Real Betis,Racing,Real Betis
4667,2012-2013,11,3-1,Atlético - Real Zaragoza,Atlético,Real Zaragoza
4668,2012-2013,11,2-1,Málaga - Espanyol,Málaga,Espanyol
4669,2012-2013,11,1-2,Sevilla - Granada,Sevilla,Granada
4670,2012-2013,12,0-0,Mallorca - Sevilla,Mallorca,Sevilla
4671,2012-2013,12,0-0,Real Betis - Málaga,Real Betis,Málaga
4672,2012-2013,12,0-2,Levante - Valencia,Levante,Valencia
4673,2012-2013,12,7-1,Real Madrid - Osasuna,Real Madrid,Osasuna
4674,2012-2013,12,2-2,Real Zaragoza - Real Sporting,Real Zaragoza,Real Sporting
4675,2012-2013,12,0-0,Granada - Racing,Granada,Racing
4676,2012-2013,12,4-0,Rayo Vallecano - R. Sociedad,Rayo Vallecano,R. Sociedad
4677,2012-2013,12,0-0,Espanyol - Villarreal,Espanyol,Villarreal
4678,2012-2013,12,2-2,Athletic - Barcelona,Athletic,Barcelona
4679,2012-2013,12,3-2,Getafe - Atlético,Getafe,Atlético
4680,2012-2013,13,1-0,Villarreal - Real Betis,Villarreal,Real Betis
4681,2012-2013,13,4-0,Barcelona - Real Zaragoza,Barcelona,Real Zaragoza
4682,2012-2013,13,2-3,Valencia - Real Madrid,Valencia,Real Madrid
4683,2012-2013,13,0-0,R. Sociedad - Espanyol,R. Sociedad,Espanyol
4684,2012-2013,13,2-1,Real Sporting - Getafe,Real Sporting,Getafe
4685,2012-2013,13,0-0,Osasuna - Rayo Vallecano,Osasuna,Rayo Vallecano
4686,2012-2013,13,1-2,Sevilla - Athletic,Sevilla,Athletic
4687,2012-2013,13,3-2,Atlético - Levante,Atlético,Levante
4688,2012-2013,13,1-3,Racing - Málaga,Racing,Málaga
4689,2012-2013,13,2-2,Granada - Mallorca,Granada,Mallorca
4690,2012-2013,14,1-2,Rayo Vallecano - Valencia,Rayo Vallecano,Valencia
4691,2012-2013,14,4-1,Real Madrid - Atlético,Real Madrid,Atlético
4692,2012-2013,14,1-0,Getafe - Barcelona,Getafe,Barcelona
4693,2012-2013,14,2-3,Real Betis - R. Sociedad,Real Betis,R. Sociedad
4694,2012-2013,14,4-0,Levante - Real Sporting,Levante,Real Sporting
4695,2012-2013,14,1-2,Espanyol - Osasuna,Espanyol,Osasuna
4696,2012-2013,14,2-1,Mallorca - Racing,Mallorca,Racing
4697,2012-2013,14,0-1,Athletic - Granada,Athletic,Granada
4698,2012-2013,14,0-1,Real Zaragoza - Sevilla,Real Zaragoza,Sevilla
4699,2012-2013,14,2-1,Málaga - Villarreal,Málaga,Villarreal
4700,2012-2013,15,1-0,Racing - Villarreal,Racing,Villarreal
4701,2012-2013,15,0-3,Real Sporting - Real Madrid,Real Sporting,Real Madrid
4702,2012-2013,15,5-0,Barcelona - Levante,Barcelona,Levante
4703,2012-2013,15,2-1,Valencia - Espanyol,Valencia,Espanyol
4704,2012-2013,15,3-1,Atlético - Rayo Vallecano,Atlético,Rayo Vallecano
4705,2012-2013,15,3-2,R. Sociedad - Málaga,R. Sociedad,Málaga
4706,2012-2013,15,2-1,Osasuna - Real Betis,Osasuna,Real Betis
4707,2012-2013,15,1-1,Mallorca - Athletic,Mallorca,Athletic
4708,2012-2013,15,1-0,Granada - Real Zaragoza,Granada,Real Zaragoza
4709,2012-2013,15,3-0,Sevilla - Getafe,Sevilla,Getafe
4710,2012-2013,16,1-0,Levante - Sevilla,Levante,Sevilla
4711,2012-2013,16,2-1,Real Betis - Valencia,Real Betis,Valencia
4712,2012-2013,16,1-3,Real Madrid - Barcelona,Real Madrid,Barcelona
4713,2012-2013,16,1-3,Rayo Vallecano - Real Sporting,Rayo Vallecano,Real Sporting
4714,2012-2013,16,1-1,Villarreal - R. Sociedad,Villarreal,R. Sociedad
4715,2012-2013,16,1-0,Getafe - Granada,Getafe,Granada
4716,2012-2013,16,0-1,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
4717,2012-2013,16,1-1,Málaga - Osasuna,Málaga,Osasuna
4718,2012-2013,16,1-1,Athletic - Racing,Athletic,Racing
4719,2012-2013,16,4-2,Espanyol - Atlético,Espanyol,Atlético
4720,2012-2013,17,4-0,Barcelona - Rayo Vallecano,Barcelona,Rayo Vallecano
4721,2012-2013,17,1-2,Real Sporting - Espanyol,Real Sporting,Espanyol
4722,2012-2013,17,1-2,Mallorca - Getafe,Mallorca,Getafe
4723,2012-2013,17,2-1,Athletic - Real Zaragoza,Athletic,Real Zaragoza
4724,2012-2013,17,2-6,Sevilla - Real Madrid,Sevilla,Real Madrid
4725,2012-2013,17,0-2,Atlético - Real Betis,Atlético,Real Betis
4726,2012-2013,17,2-1,Granada - Levante,Granada,Levante
4727,2012-2013,17,2-1,Osasuna - Villarreal,Osasuna,Villarreal
4728,2012-2013,17,0-0,Racing - R. Sociedad,Racing,R. Sociedad
4729,2012-2013,17,2-0,Valencia - Málaga,Valencia,Málaga
4730,2012-2013,18,1-0,Racing - Real Zaragoza,Racing,Real Zaragoza
4731,2012-2013,18,0-0,R. Sociedad - Osasuna,R. Sociedad,Osasuna
4732,2012-2013,18,0-0,Levante - Mallorca,Levante,Mallorca
4733,2012-2013,18,5-1,Real Madrid - Granada,Real Madrid,Granada
4734,2012-2013,18,0-0,Málaga - Atlético,Málaga,Atlético
4735,2012-2013,18,2-1,Rayo Vallecano - Sevilla,Rayo Vallecano,Sevilla
